fecha_asignacion,correlativo_aspirante,sexo,anio_nacimiento,materia,numero_de_fecha_de_evaluaci,anio_de_ingreso,aprobacion,carrera_objetivo,departamento_institucion_ed,municipio_institucion_,tipo_institucion_educativa
2022-09-27,f5f53fcfc1412330814db8,M,2002,MATEMATICA,1,2023,APROBADO,INGENIERIA CIVIL,CHIQUIMULA,IPALA,PRIVADO
2022-09-27,62bf5d683c19e0732331,M,2003,MATEMATICA,1,2023,APROBADO,INGENIERIA MECANICA ,GUATEMALA,GUATEMALA - CIUDAD ,PUBLICO
2022-09-27,62bf5d683c19e0732331,M,2003,COMPUTACION,1,2023,NO APROBADO,INGENIERIA MECANICA ,GUATEMALA,GUATEMALA - CIUDAD ,PUBLICO
2022-09-27,336c33c202e5054b76ce,M,2004,MATEMATICA,1,2023,NO APROBADO,INGENIERIA EN CIENCIAS Y ,SACATEPEQUEZ,SAN LUCAS SACATEPEQ,PRIVADO
2022-09-27,336c33c202e5054b76ce,M,2004,COMPUTACION,1,2023,NO APROBADO,INGENIERIA EN CIENCIAS Y ,SACATEPEQUEZ,SAN LUCAS SACATEPEQ,PRIVADO
2022-09-27,1256d9d722e9eec5a3fe,F,1997,COMPUTACION,1,2023,NO APROBADO,INGENIERIA CIVIL,GUATEMALA,GUATEMALA - CIUDAD ,PRIVADO
2022-09-27,1256d9d722e9eec5a3fe,F,1997,MATEMATICA,1,2023,NO APROBADO,INGENIERIA CIVIL,GUATEMALA,GUATEMALA - CIUDAD ,PRIVADO
2022-09-27,081515345d0045d36a7c,M,2002,MATEMATICA,1,2023,NO APROBADO,INGENIERIA ELECTRICA,GUATEMALA,GUATEMALA - CIUDAD ,PRIVADO
2022-09-27,081515345d0045d36a7c,M,2002,COMPUTACION,1,2023,NO APROBADO,INGENIERIA ELECTRICA,GUATEMALA,GUATEMALA - CIUDAD ,PRIVADO
2022-09-27,792cb26d3821b4ac3301,M,2003,MATEMATICA,1,2023,NO APROBADO,INGENIERIA ELECTRICA,HUEHUETENANGO,HUEHUETENANGO,PRIVADO
2022-09-27,792cb26d3821b4ac3301,M,2003,COMPUTACION,1,2023,NO APROBADO,INGENIERIA ELECTRICA,HUEHUETENANGO,HUEHUETENANGO,PRIVADO
2022-09-27,2017869c81c0f3c49ded,M,1983,COMPUTACION,1,2023,NO APROBADO,INGENIERIA CIVIL,GUATEMALA,GUATEMALA - CIUDAD ,PRIVADO
2022-09-27,2017869c81c0f3c49ded,M,1983,MATEMATICA,1,2023,NO APROBADO,INGENIERIA CIVIL,GUATEMALA,GUATEMALA - CIUDAD ,PRIVADO
2022-09-27,a7254f294f2b04f4f614,F,2001,MATEMATICA,1,2023,NO APROBADO,INGENIERIA ELECTRICA,GUATEMALA,GUATEMALA - CIUDAD ,PUBLICO
2022-09-27,a7254f294f2b04f4f614,F,2001,COMPUTACION,1,2023,NO APROBADO,INGENIERIA ELECTRICA,GUATEMALA,GUATEMALA - CIUDAD ,PUBLICO
